1.048	9.99569
1.049	9.78957
1.05	9.59163
1.051	9.40139
1.052	9.2184
1.053	9.04225
1.054	8.87256
1.055	8.70898
1.056	8.55118
1.057	8.39886
1.058	8.25173
1.059	8.10953
1.06	7.97201
1.061	7.83895
1.062	7.71012
1.063	7.58533
1.064	7.46439
1.065	7.34711
1.066	7.23334
1.067	7.12291
1.068	7.01568
1.069	6.91151
1.07	6.81026
1.071	6.71182
1.072	6.61606
1.073	6.52288
1.074	6.43218
1.075	6.34384
1.076	6.25779
1.077	6.17392
1.078	6.09217
1.079	6.01243
1.08	5.93465
1.081	5.85875
1.082	5.78465
1.083	5.7123
1.084	5.64163
1.085	5.57258
1.086	5.5051
1.087	5.43913
1.088	5.37462
1.089	5.31152
1.09	5.24978
1.091	5.18936
1.092	5.13022
1.093	5.07231
1.094	5.01559
1.095	4.96004
1.096	4.9056
1.097	4.85225
1.098	4.79996
1.099	4.74868
1.1	4.6984
1.101	4.64907
1.102	4.60068
1.103	4.55319
1.104	4.50659
1.105	4.46084
1.106	4.41591
1.107	4.3718
1.108	4.32847
1.109	4.2859
1.11	4.24407
1.111	4.20296
1.112	4.16256
1.113	4.12284
1.114	4.08379
1.115	4.04538
1.116	4.00761
1.117	3.97045
1.118	3.93389
1.119	3.89792
1.12	3.86251
1.121	3.82766
1.122	3.79336
1.123	3.75958
1.124	3.72632
1.125	3.69356
1.126	3.66129
1.127	3.6295
1.128	3.59818
1.129	3.56732
1.13	3.5369
1.131	3.50693
1.132	3.47738
1.133	3.44824
1.134	3.41952
1.135	3.39119
1.136	3.36325
1.137	3.33569
1.138	3.30851
1.139	3.28169
1.14	3.25523
1.141	3.22912
1.142	3.20335
1.143	3.17791
1.144	3.15281
1.145	3.12802
1.146	3.10355
1.147	3.07939
1.148	3.05552
1.149	3.03196
1.15	3.00868
1.151	2.98569
1.152	2.96297
1.153	2.94053
1.154	2.91835
1.155	2.89644
1.156	2.87479
1.157	2.85338
1.158	2.83223
1.159	2.81131
1.16	2.79064
1.161	2.7702
1.162	2.74998
1.163	2.73
1.164	2.71023
1.165	2.69068
1.166	2.67134
1.167	2.65221
1.168	2.63329
1.169	2.61457
1.17	2.59605
1.171	2.57772
1.172	2.55958
1.173	2.54163
1.174	2.52387
1.175	2.50628
1.176	2.48887
1.177	2.47164
1.178	2.45459
1.179	2.4377
1.18	2.42097
1.181	2.40441
1.182	2.38801
1.183	2.37177
1.184	2.35569
1.185	2.33976
1.186	2.32397
1.187	2.30834
1.188	2.29285
1.189	2.27751
1.19	2.2623
1.191	2.24724
1.192	2.23231
1.193	2.21752
1.194	2.20286
1.195	2.18833
1.196	2.17392
1.197	2.15965
1.198	2.14549
1.199	2.13146
1.2	2.11755
1.201	2.10376
1.202	2.09009
1.203	2.07653
1.204	2.06309
1.205	2.04975
1.206	2.03653
1.207	2.02341
1.208	2.01041
1.209	1.9975
1.21	1.9847
1.211	1.97201
1.212	1.95941
1.213	1.94692
1.214	1.93452
1.215	1.92221
1.216	1.91001
1.217	1.89789
1.218	1.88587
1.219	1.87394
1.22	1.8621
1.221	1.85035
1.222	1.83869
1.223	1.82711
1.224	1.81562
1.225	1.80421
1.226	1.79288
1.227	1.78164
1.228	1.77047
1.229	1.75939
1.23	1.74838
1.231	1.73745
1.232	1.7266
1.233	1.71582
1.234	1.70512
1.235	1.69449
1.236	1.68393
1.237	1.67345
1.238	1.66303
1.239	1.65268
1.24	1.6424
1.241	1.63219
1.242	1.62205
1.243	1.61197
1.244	1.60196
1.245	1.59201
1.246	1.58213
1.247	1.5723
1.248	1.56254
1.249	1.55284
1.25	1.54321
1.251	1.53363
1.252	1.52411
1.253	1.51464
1.254	1.50524
1.255	1.49589
1.256	1.4866
1.257	1.47736
1.258	1.46818
1.259	1.45905
1.26	1.44997
1.261	1.44095
1.262	1.43198
1.263	1.42306
1.264	1.41419
1.265	1.40537
1.266	1.3966
1.267	1.38788
1.268	1.37921
1.269	1.37059
1.27	1.36201
1.271	1.35348
1.272	1.34499
1.273	1.33656
1.274	1.32816
1.275	1.31981
1.276	1.31151
1.277	1.30325
1.278	1.29503
1.279	1.28685
1.28	1.27872
1.281	1.27062
1.282	1.26257
1.283	1.25456
1.284	1.24659
1.285	1.23866
1.286	1.23076
1.287	1.22291
1.288	1.21509
1.289	1.20732
1.29	1.19958
1.291	1.19187
1.292	1.18421
1.293	1.17657
1.294	1.16898
1.295	1.16142
1.296	1.1539
1.297	1.1464
1.298	1.13895
1.299	1.13153
1.3	1.12414
1.301	1.11678
1.302	1.10946
1.303	1.10217
1.304	1.09491
1.305	1.08768
1.306	1.08048
1.307	1.07332
1.308	1.06618
1.309	1.05908
1.31	1.052
1.311	1.04496
1.312	1.03794
1.313	1.03096
1.314	1.024
1.315	1.01707
1.316	1.01016
1.317	1.00329
1.318	0.996442
1.319	0.989622
1.32	0.982828
1.321	0.976061
1.322	0.96932
1.323	0.962605
1.324	0.955915
1.325	0.949251
1.326	0.942612
1.327	0.935998
1.328	0.929408
1.329	0.922842
1.33	0.9163
1.331	0.909782
1.332	0.903288
1.333	0.896817
1.334	0.890368
1.335	0.883943
1.336	0.877539
1.337	0.871158
1.338	0.864799
1.339	0.858462
1.34	0.852146
1.341	0.845852
1.342	0.839578
1.343	0.833325
1.344	0.827093
1.345	0.820881
1.346	0.81469
1.347	0.808518
1.348	0.802366
1.349	0.796233
1.35	0.790119
1.351	0.784025
1.352	0.777949
1.353	0.771893
1.354	0.765854
1.355	0.759834
1.356	0.753831
1.357	0.747847
1.358	0.74188
