0.0002	-5.64918	-4.83345	1.16877	-0.815732
0.0003	-3.89769	-3.08194	1.26469	-0.81575
0.0004	-2.97692	-2.16115	1.37747	-0.815768
0.0005	-2.3858	-1.57001	1.51961	-0.815787
0.0006	-1.95637	-1.14057	1.71526	-0.815805
0.0007	-1.61562	-0.799801	2.02003	-0.815823
0.0008	-1.32582	-0.509975	2.59977	-0.815841
0.0009	-1.06442	-0.248566	4.28226	-0.815859
0.001	-0.815877	-7.92961e-16	1.0289e+15	-0.815877
0.0011	-0.567379	0.248516	-2.28306	-0.815895
0.0012	-0.306142	0.509771	-0.600548	-0.815913
0.0013	-0.0166094	0.799322	-0.0207794	-0.815931
0.0014	0.323706	1.13965	0.284039	-0.815949
0.0015	0.752477	1.56844	0.47976	-0.815967
0.0016	1.34258	2.15856	0.621978	-0.815985
0.0017	2.26163	3.07763	0.73486	-0.816002
0.0018	4.00971	4.82573	0.830902	-0.81602
0.0019	9.08277	9.89881	0.917562	-0.816038
0.0022	-5.63989	-4.8238	1.16918	-0.816091
0.0023	-3.8919	-3.07579	1.26533	-0.816109
0.0024	-2.97297	-2.15684	1.37839	-0.816126
0.0025	-2.38302	-1.56688	1.52087	-0.816144
0.0026	-1.95445	-1.13829	1.71701	-0.816161
0.0027	-1.61438	-0.798205	2.02252	-0.816179
0.0028	-1.32515	-0.508958	2.60366	-0.816196
0.0029	-1.06428	-0.24807	4.29025	-0.816214
0.003	-0.816231	2.49427e-15	-3.27242e+14	-0.816231
0.0031	-0.568227	0.248021	-2.29105	-0.816248
0.0032	-0.307511	0.508755	-0.604439	-0.816266
0.0033	-0.0185548	0.797728	-0.0232595	-0.816283
0.0034	0.321083	1.13738	0.2823	-0.8163
0.0035	0.749	1.56532	0.478497	-0.816317
0.0036	1.33793	2.15426	0.62106	-0.816335
0.0037	2.25514	3.0715	0.734217	-0.816352
0.0038	3.99974	4.81611	0.830492	-0.816369
0.0039	9.0627	9.87909	0.917362	-0.816386
0.0042	-5.63063	-4.81419	1.16959	-0.816437
0.0043	-3.88612	-3.06966	1.26598	-0.816454
0.0044	-2.96902	-2.15254	1.37931	-0.816471
